Temperatura Climatologia Matthei

Fecha,Minima,Maxima,Media
"1989-02-01",9.5,24.5,17
"1989-02-02",9.5,25.6,17.55
"1989-02-03",12.5,26,19.25
"1989-02-04",10,28,19
"1989-02-05",8.2,24.5,16.35
"1989-02-06",12,23,17.5
"1989-02-07",3.5,28.5,16
"1989-02-08",7.7,30,18.85
"1989-02-09",12.5,29.5,21
"1989-02-10",7.5,30,18.75
"1989-02-11",11,26.5,18.75
"1989-02-12",11.5,25.7,18.6
"1989-02-13",9.5,28,18.75
"1989-02-14",7.5,26,16.75
"1989-02-15",7,21.9,14.45
"1989-02-16",15,23.4,19.2
"1989-02-17",9.6,24,16.8
"1989-02-18",3,26,14.5
"1989-02-19",3.7,26.5,15.1
"1989-02-20",6.4,27.6,17
"1989-02-21",10.9,26.5,18.7
"1989-02-22",10.5,19.5,15
"1989-02-23",11.9,22,16.95
"1989-02-24",4.6,25.4,15
"1989-02-25",5,28,16.5
"1989-02-26",10,25.9,17.95
"1989-02-27",5.5,24.6,15.05
"1989-02-28",12,24.5,18.25
